epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
0.000000,73.178261,42.310001
1.000000,62.407967,52.639999
2.000000,62.125282,53.880001
3.000000,56.433144,58.340000
4.000000,49.468975,64.410004
5.000000,43.129959,69.889999
6.000000,39.216438,73.019997
7.000000,39.356491,72.300003
8.000000,42.205780,70.389999
9.000000,40.729935,70.889999
10.000000,35.091972,76.870003
11.000000,34.226055,77.209999
12.000000,32.622456,78.529999
13.000000,34.973099,76.860001
14.000000,30.495850,80.220001
15.000000,31.511183,79.440002
16.000000,30.043623,80.059998
17.000000,34.500317,77.820000
18.000000,32.296482,78.669998
19.000000,31.153320,79.709999
20.000000,30.142780,79.809998
21.000000,28.313663,81.410004
22.000000,29.285418,80.709999
23.000000,28.880627,81.300003
24.000000,31.525574,79.169998
25.000000,35.842762,75.300003
26.000000,26.841232,82.379997
27.000000,29.052252,80.739998
28.000000,27.851704,82.029999
29.000000,27.548841,82.199997
30.000000,26.404772,83.150002
31.000000,27.584990,82.089996
