Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96135,0,1.81752,0.00103279,0.0727664,0,0.111504,7.82134e-06,0.115904,0,1.23285,0.00102575,0.0183205,0,0.0876581,7.73185e-06,, , 0.0678013,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00102575,0.000987789,0.0134878,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,7.73185e-06,0.0585562
2,15.1243,15.1819,11.3421,0.0104685,0.500037,0.503794,3.47522,0.000700644,3.68363,3.74114,9.61555,0.010155,0.174211,0.177968,2.60678,4.33285e-05,, , 0.532149,6.59864,0.293982,15.1163,9.97854,9.61555,0.010155,0.0155217,0.204077,0.129148,0.0189539,0.00853657,0.640836,2.60678,4.33285e-05,0.920125
3,4.20636,4.23147,7.27523,0.0217798,0.173973,0.175515,2.85432,0.00137355,0.892177,0.917282,6.41706,0.0211528,0.0703307,0.0718727,1.12478,0.000169847,, , 0.231654,1.44982,0.127988,5.23262,3.22802,6.41706,0.0211528,0.0293457,0.0921582,0.0417726,0.00827265,0.00755516,0.204585,1.12478,0.000169847,1.73961
4,6.18011,6.23678,7.76688,0.0417634,0.278969,0.282728,5.61028,0.000741863,1.10612,1.16279,6.41607,0.0405094,0.136459,0.140218,2.15227,0.000178079,, , 0.471176,1.54823,0.249511,8.74862,4.69842,6.41607,0.0405094,0.0584488,0.184113,0.0761984,0.0163651,0.0118465,0.284231,2.15227,0.000178079,3.46485
5,1.53052,1.55138,7.03787,0.0739876,0.087933,0.0892086,7.68313,0.000284117,0.27482,0.295677,5.50205,0.0714795,0.048377,0.0496526,0.769291,0.000112511,, , 0.171739,0.307138,0.0916197,6.2831,1.66068,5.50205,0.0714795,0.116473,0.0679753,0.024022,0.00603236,0.017688,0.0855392,0.769291,0.000112511,6.90454
6,2.44567,2.4897,8.44,0.160431,0.150583,0.153461,15.3305,0.000712749,0.448939,0.492967,5.50263,0.155415,0.096574,0.0994518,1.50307,0.00059456,, , 0.351388,0.409594,0.180924,11.9572,2.76674,5.50263,0.155415,0.232886,0.137266,0.0467762,0.011984,0.0313899,0.125166,1.50307,0.00059456,13.8055
7,0.470086,0.471228,9.57551,0.391218,0.0297865,0.0301154,49.3627,0.00030767,0.385849,0.386991,0.013014,0.374134,0.0164608,0.0167897,0.199939,9.04453e-05,, , 0.0100564,0.757676,0.00510665,12.0326,0.287429,0.013014,0.374134,0.827824,0.0137413,0.0183357,0.00117351,0.107445,0.0520212,0.199939,9.04453e-05,49.0734
8,0.0286196,0.0287561,0.0180721,0.000487792,0.000539212,0.000545192,0.0602488,3.2729e-07,0.00198361,0.00212011,0.00210127,0.000466937,8.73586e-05,9.33392e-05,0.000229628,6.21233e-08,, , 0.00127001,0.00218914,0.000644581,0.0803593,0.0212412,0.00210127,0.000466937,0.00101147,7.346e-05,8.89254e-05,1.83124e-05,0.000321226,0.00074128,0.000229628,6.21233e-08,0.0599602
Total,37.9471,30.1912,53.2732,0.70117,1.29459,1.23537,84.4878,0.00412874,6.90942,6.99897,34.7013,0.674338,0.56082,0.556046,8.44402,0.00119656,, , 1.83723,11.0806,0.990543,66.3248,24.208,34.7013,0.674338,1.2825,0.712892,0.339823,0.0641512,0.186405,1.4432,8.44402,0.00119656,76.0265


TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS,
2.11884,0.00818917,1.51026,19.2867,0.0202905,3.74201
Total Area(m^2), Total CIM (FW+AG) Area (m^2), Routing Area(m^2), ADC Area(m^2), Accumulation Area(m^2), Other Logic&Storage Area(m^2), Weight Gradient Area(m^2),
9.52136e-05,3.65072e-07,1.19663e-05,5.4022e-05,9.68277e-06,9.56223e-06,9.61522e-06


layer_number, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J),, , ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J)
1,7.96135,0,1.81752,0.00103279,0.0727664,0,0.111504,7.82134e-06,0.115904,0,1.23285,0.00102575,0.0183205,0,0.0876581,7.73185e-06,, , 0.0678013,0.00733546,0.0407669,6.87397,1.56697,1.23285,0.00102575,0.000987789,0.0134878,0.00348139,0.00135132,0.00162304,0.0500789,0.0876581,7.73185e-06,0.0585562
